Timestamp,Distance_mm
2025-04-04 13:43:03,1231
2025-04-04 13:43:17,738
2025-04-04 13:43:32,1103
2025-04-04 15:42:06,700
2025-04-04 15:43:56,845
2025-04-04 15:43:57,842
2025-04-04 15:44:00,862
2025-04-04 15:44:03,820
2025-04-04 15:44:06,793
2025-04-04 15:44:08,837
2025-04-04 15:44:16,807
2025-04-04 15:44:22,817
2025-04-04 15:44:23,790
2025-04-04 15:44:32,796
2025-04-04 15:44:33,831
2025-04-04 15:44:36,794
2025-04-04 15:44:38,754
2025-04-04 15:44:41,783
2025-04-04 15:44:42,803
2025-04-04 15:44:43,811
2025-04-04 15:44:44,807
2025-04-04 15:44:45,803
2025-04-04 15:44:46,785
2025-04-04 15:44:48,830
2025-04-04 15:44:55,775
2025-04-04 15:44:56,816
2025-04-04 15:44:58,855
2025-04-04 15:45:00,837
2025-04-04 15:45:08,786
2025-04-04 15:45:10,790
2025-04-04 15:45:12,813
2025-04-04 15:45:14,746
2025-04-04 15:45:16,787
2025-04-04 15:45:21,753
2025-04-04 15:45:22,783
2025-04-04 15:45:25,1171
2025-04-04 15:45:26,886
2025-04-04 15:45:28,848
2025-04-04 15:45:29,736
2025-04-04 15:45:30,758
2025-04-04 15:49:17,777
2025-04-04 15:49:20,756
2025-04-04 15:49:22,797
2025-04-04 15:49:25,785
2025-04-04 15:49:27,740
2025-04-04 15:49:28,792
2025-04-04 15:49:30,770
2025-04-04 15:49:31,816
2025-04-04 15:49:36,785
2025-04-04 15:49:37,763
2025-04-04 15:49:38,745
2025-04-04 15:49:39,791
2025-04-04 15:49:49,803
2025-04-04 15:49:50,800
2025-04-04 15:49:52,799
2025-04-04 15:49:53,727
2025-04-04 15:49:58,791
2025-04-04 15:50:00,769
2025-04-04 15:50:01,714
2025-04-04 15:50:02,769
2025-04-04 15:50:03,1015
2025-04-04 15:50:11,1079
2025-04-04 15:50:12,766
2025-04-04 15:50:13,751
2025-04-04 15:57:36,976
2025-04-04 15:57:55,921
2025-04-04 15:57:58,964
2025-04-04 15:58:05,1182
2025-04-04 15:58:11,1087
2025-04-04 15:58:16,1022
2025-04-04 15:59:22,1037
2025-04-04 16:01:30,1270
2025-04-04 16:01:31,850
2025-04-04 16:01:32,1170
2025-04-04 16:01:33,1082
2025-04-04 16:01:37,866
2025-04-04 16:01:43,758
2025-04-04 16:02:02,1036
2025-04-04 16:02:03,1219
2025-04-04 16:02:04,1088
2025-04-04 16:03:00,1275
2025-04-04 16:03:13,1209
2025-04-04 16:03:36,908
2025-04-04 16:04:48,1255
2025-04-04 16:06:36,967
2025-04-04 16:06:42,1264
2025-04-04 16:10:11,975
2025-04-04 16:10:33,1201
2025-04-04 16:21:26,1032
2025-04-04 16:21:39,1198
2025-04-04 16:26:06,1239
2025-04-04 16:29:33,847
2025-04-04 16:29:46,1188
2025-04-04 16:29:47,961
2025-04-04 16:31:39,960
2025-04-04 16:31:40,818
2025-04-04 16:32:55,1201
2025-04-04 16:32:59,854
2025-04-04 16:33:00,873
2025-04-04 16:33:09,1065
2025-04-04 16:33:37,1147
2025-04-04 16:33:38,1065
2025-04-04 16:33:41,810
2025-04-04 16:33:43,1129
2025-04-04 16:34:06,945
2025-04-04 16:34:59,916
2025-04-04 16:35:01,861
2025-04-04 16:35:03,833
2025-04-04 16:35:04,839
2025-04-04 16:35:14,782
2025-04-04 16:35:17,1042
2025-04-04 16:35:19,829
2025-04-04 16:35:22,816
2025-04-04 16:35:25,1056
2025-04-04 16:35:29,903
2025-04-04 16:35:32,743
2025-04-04 16:35:47,1195
2025-04-04 16:35:50,1288
2025-04-04 16:35:51,1282
2025-04-04 16:35:51,1134
2025-04-04 16:35:54,1220
2025-04-04 16:35:55,1229
2025-04-04 16:35:55,1093
2025-04-04 16:35:58,1260
2025-04-04 16:35:59,1265
2025-04-04 16:36:00,1183
2025-04-04 16:36:01,1257
2025-04-04 16:36:02,1174
2025-04-04 16:36:03,1248
2025-04-04 16:36:04,1238
2025-04-04 16:36:05,1211
2025-04-04 16:36:06,1217
2025-04-04 16:36:14,996
2025-04-04 16:36:22,901
2025-04-04 16:36:57,1262
2025-04-04 16:36:59,924
2025-04-04 16:37:41,1291
2025-04-04 16:38:09,1291
2025-04-04 16:38:11,1095
2025-04-04 16:38:41,853
2025-04-04 16:38:53,1254
2025-04-04 16:38:57,1185
2025-04-04 16:39:02,1260
2025-04-04 16:39:04,1042
2025-04-04 16:39:10,1172
2025-04-04 16:39:13,1239
2025-04-04 16:39:16,1170
2025-04-04 16:39:17,1201
2025-04-04 16:45:03,931
2025-04-04 17:09:27,838
2025-04-04 17:09:32,798
2025-04-04 17:28:21,819
2025-04-04 17:28:54,990
2025-04-04 17:40:08,836
2025-04-04 17:50:36,725
2025-04-04 17:51:02,1142
2025-04-04 17:53:06,777
2025-04-04 17:53:16,800
2025-04-04 17:53:18,802
2025-04-04 17:54:13,833
2025-04-04 17:54:19,1069
2025-04-04 17:57:47,1279
2025-04-04 18:03:13,796
2025-04-04 18:05:05,986
2025-04-04 18:05:14,1145
2025-04-04 18:05:15,1187
2025-04-04 18:05:17,1248
2025-04-04 18:05:18,1063
2025-04-04 18:07:54,715
2025-04-04 18:08:04,791
2025-04-04 18:08:20,944
2025-04-04 18:08:50,1059
2025-04-04 18:09:00,962
2025-04-04 18:09:47,1084
2025-04-04 18:10:34,860
2025-04-04 18:11:30,1271
2025-04-04 18:11:43,805
2025-04-04 18:11:46,917
2025-04-04 18:13:20,831
2025-04-04 18:33:46,1287
2025-04-04 18:33:47,1017
2025-04-04 18:36:30,997
2025-04-04 18:38:59,745
2025-04-04 18:39:09,1197
2025-04-04 18:39:28,871
2025-04-04 18:51:13,925
2025-04-04 18:54:01,827
2025-04-04 18:54:02,798
2025-04-04 18:57:34,899
2025-04-04 19:00:28,1188
2025-04-04 19:03:39,1011
2025-04-04 19:03:42,920
2025-04-04 19:03:56,836
2025-04-04 19:04:35,966
2025-04-04 19:09:01,928
2025-04-04 19:12:58,873
2025-04-04 19:13:45,786
2025-04-04 19:13:57,919
2025-04-04 19:14:06,1206
2025-04-04 19:14:17,735
2025-04-04 19:47:48,1254
2025-04-04 20:23:32,1099
2025-04-04 20:23:49,864
2025-04-04 20:23:51,900
2025-04-04 20:24:15,1097
2025-04-04 20:24:15,1064
2025-04-04 20:40:27,929
2025-04-04 21:49:59,1056
2025-04-05 01:02:23,1083
2025-04-05 02:51:44,1102
2025-04-05 03:18:29,1059
2025-04-05 06:03:47,1084
2025-04-05 07:30:04,1113
2025-04-05 07:32:28,943
2025-04-05 07:33:49,777
2025-04-05 07:39:04,947
2025-04-05 07:39:35,786
2025-04-05 07:51:15,1050
2025-04-05 08:05:32,834
2025-04-05 08:05:35,1234
2025-04-05 08:05:37,1281
2025-04-05 08:05:38,1201
2025-04-05 08:05:42,1277
2025-04-05 08:05:48,1275
2025-04-05 08:05:50,1282
2025-04-05 08:05:57,1237
2025-04-05 08:06:06,1265
2025-04-05 08:06:12,1287
2025-04-05 08:06:19,1287
2025-04-05 08:06:25,1282
2025-04-05 08:06:39,1222
2025-04-05 08:06:42,1267
2025-04-05 08:06:43,1232
2025-04-05 08:06:44,1260
2025-04-05 08:06:46,1245
2025-04-05 08:06:53,1266
2025-04-05 08:06:56,1223
2025-04-05 08:07:00,1268
2025-04-05 08:07:02,1289
2025-04-05 08:07:06,1268
2025-04-05 08:07:08,1251
2025-04-05 08:07:11,1266
2025-04-05 08:07:15,1270
2025-04-05 08:07:16,1289
2025-04-05 08:07:25,1290
2025-04-05 08:07:31,1282
2025-04-05 08:07:35,1247
2025-04-05 08:07:39,1286
2025-04-05 08:07:41,1204
2025-04-05 08:07:42,1292
2025-04-05 08:07:43,1279
2025-04-05 08:07:45,806
2025-04-05 08:07:48,1279
2025-04-05 08:07:49,1256
